episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,222.0,28.0,638.64,28.18,14.29,0.13,0.11
2,225.0,25.0,665.11,27.36,15.71,0.11,0.11
3,231.0,19.0,689.81,26.47,13.8,0.11,0.09
4,224.0,26.0,692.93,27.13,15.18,0.17,0.09
5,234.0,16.0,696.03,27.0,13.75,0.21,0.1
6,236.0,14.0,693.85,26.95,13.74,0.21,0.11
7,227.0,23.0,688.1,27.45,15.18,0.23,0.11
8,235.0,15.0,688.57,27.87,12.98,0.17,0.12
9,234.0,16.0,691.56,27.92,15.0,0.21,0.1
10,222.0,28.0,686.35,27.79,14.8,0.1,0.17
11,227.0,23.0,679.71,27.95,13.86,0.22,0.11
12,233.0,17.0,673.56,27.84,12.35,0.21,0.13
13,226.0,24.0,678.46,27.88,14.29,0.22,0.09
14,225.0,25.0,673.99,27.84,14.55,0.16,0.1
15,224.0,26.0,674.69,27.73,14.41,0.11,0.09
16,233.0,17.0,672.92,27.86,14.86,0.12,0.09
17,228.0,22.0,674.21,27.76,14.61,0.07,0.09
18,226.0,24.0,676.8,27.72,15.46,0.19,0.09
19,230.0,20.0,677.12,27.77,15.05,0.15,0.09
20,220.0,30.0,673.81,27.78,14.95,0.17,0.09
21,227.0,23.0,672.65,27.77,15.79,0.14,0.09
22,228.0,22.0,673.59,27.62,15.57,0.14,0.09
23,230.0,20.0,675.84,27.62,15.38,0.16,0.11
24,226.0,24.0,672.53,27.73,13.06,0.2,0.09
25,227.0,23.0,671.52,27.82,13.88,0.16,0.09
26,237.0,13.0,668.55,27.87,15.56,0.21,0.12
27,223.0,27.0,671.56,27.83,17.22,0.11,0.37
28,226.0,24.0,673.41,27.85,15.03,0.12,0.16
29,222.0,28.0,674.98,27.89,14.21,0.19,0.1
30,227.0,23.0,676.48,27.86,14.25,0.11,0.11
