episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_fdd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,54.0,0.0,100.0,0.0,91.0,9.0,0.0,0.0,476.76,20.32,15.48,0.66,0.06
2,62.09,0.0,100.0,0.0,96.0,4.0,0.0,0.0,411.67,19.38,19.01,0.47,0.06
3,20.84,0.2,80.0,20.0,10.0,70.0,0.0,0.0,468.28,19.28,13.27,0.75,0.1
4,59.4,0.01,99.0,1.0,98.0,1.0,0.0,0.0,422.18,4.4,20.6,0.71,0.05
5,52.56,0.0,100.0,0.0,92.0,8.0,0.0,0.0,518.78,9.76,16.81,0.8,0.06
6,59.82,0.0,100.0,0.0,98.0,2.0,0.0,0.0,434.15,9.8,18.41,0.69,0.05
7,49.62,0.0,100.0,0.0,93.0,7.0,0.0,0.0,479.08,19.36,20.76,0.8,0.06
8,52.42,0.0,100.0,0.0,99.0,1.0,0.0,0.0,423.83,29.48,14.27,0.46,0.05
9,61.26,0.0,100.0,0.0,100.0,0.0,0.0,0.0,407.84,7.7,20.34,0.64,0.05
10,59.99,0.0,100.0,0.0,100.0,0.0,0.0,0.0,398.86,5.94,19.93,0.72,0.05
11,60.25,0.0,100.0,0.0,99.0,1.0,0.0,0.0,464.98,13.74,17.33,0.57,0.06
12,57.65,0.01,99.0,1.0,93.0,6.0,0.0,0.0,448.07,5.29,15.01,0.7,0.06
13,62.65,0.0,100.0,0.0,99.0,1.0,0.0,0.0,460.34,7.48,18.57,0.55,0.05
14,59.81,0.01,99.0,1.0,93.0,6.0,0.0,0.0,414.42,6.39,17.23,0.64,0.06
15,63.14,0.0,100.0,0.0,99.0,1.0,0.0,0.0,399.4,4.56,20.35,0.65,0.05
16,61.37,0.0,100.0,0.0,100.0,0.0,0.0,0.0,438.53,16.92,18.57,0.51,0.05
17,62.65,0.0,100.0,0.0,98.0,2.0,0.0,0.0,474.36,4.02,18.32,0.6,0.05
18,52.34,0.01,99.0,1.0,87.0,12.0,0.0,0.0,479.2,8.16,15.14,0.79,0.06
19,63.32,0.0,100.0,0.0,94.0,6.0,0.0,0.0,449.87,6.4,19.88,0.6,0.06
20,63.04,0.0,100.0,0.0,100.0,0.0,0.0,0.0,448.84,5.0,20.03,0.61,0.05
21,52.31,0.0,100.0,0.0,92.0,8.0,0.0,0.0,471.13,15.46,17.77,0.7,0.06
22,62.02,0.0,100.0,0.0,98.0,2.0,0.0,0.0,451.45,8.98,16.73,0.54,0.05
23,52.31,0.01,99.0,1.0,92.0,7.0,0.0,0.0,510.95,17.17,17.77,0.65,0.06
24,55.69,0.0,100.0,0.0,96.0,4.0,0.0,0.0,441.15,19.94,19.85,0.66,0.06
25,39.17,0.13,87.0,13.0,42.0,45.0,0.0,0.0,421.58,14.94,14.21,0.6,0.08
26,48.52,0.07,93.0,7.0,48.0,45.0,0.0,0.0,386.42,4.0,10.23,0.78,0.08
27,61.0,0.0,100.0,0.0,98.0,2.0,0.0,0.0,469.87,6.95,20.14,0.64,0.05
28,59.96,0.0,100.0,0.0,96.0,4.0,0.0,0.0,463.47,6.2,22.03,0.66,0.06
29,53.9,0.0,100.0,0.0,99.0,1.0,0.0,0.0,449.21,9.94,22.61,0.77,0.05
30,52.07,0.04,96.0,4.0,87.0,9.0,0.0,0.0,455.84,9.66,14.02,0.68,0.06
