episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,244.0,6.0,668.56,30.94,18.49,0.2,0.11
2,239.0,11.0,701.4,29.83,18.37,0.19,0.12
3,242.0,8.0,683.67,30.5,19.33,0.26,0.1
4,239.0,11.0,689.52,31.12,19.75,0.2,0.1
5,239.0,11.0,688.97,31.5,18.08,0.2,0.1
6,243.0,7.0,680.06,31.86,17.8,0.21,0.11
7,240.0,10.0,678.78,32.53,14.82,0.34,0.12
8,240.0,10.0,682.86,32.47,17.74,0.27,0.1
9,239.0,11.0,686.5,32.38,20.98,0.17,0.09
10,240.0,10.0,684.65,32.44,17.02,0.23,0.1
11,239.0,11.0,682.32,32.56,17.15,0.31,0.1
12,237.0,13.0,679.84,32.62,16.51,0.22,0.1
13,240.0,10.0,678.41,32.36,19.12,0.21,0.09
14,237.0,13.0,682.21,32.45,16.15,0.31,0.09
15,240.0,10.0,685.34,32.4,18.65,0.23,0.09
16,238.0,12.0,683.4,32.32,18.99,0.14,0.09
17,241.0,9.0,684.68,32.29,18.29,0.17,0.09
18,236.0,14.0,686.31,32.27,17.93,0.19,0.09
19,239.0,11.0,690.46,32.25,20.18,0.21,0.09
20,241.0,9.0,691.26,32.18,18.38,0.24,0.09
21,238.0,12.0,693.36,32.07,18.62,0.19,0.09
22,236.0,14.0,694.51,31.9,19.19,0.16,0.08
23,235.0,15.0,695.83,31.88,16.32,0.22,0.09
24,242.0,8.0,697.04,31.94,17.84,0.28,0.1
25,247.0,3.0,695.41,31.79,17.84,0.16,0.17
26,238.0,12.0,695.94,31.73,17.43,0.2,0.1
27,237.0,13.0,695.36,31.75,17.37,0.22,0.09
28,240.0,10.0,697.25,31.74,17.99,0.22,0.1
29,238.0,12.0,697.44,31.69,18.8,0.23,0.11
30,235.0,15.0,696.53,31.61,16.15,0.2,0.1
