episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,250.0,0.0,310.46,32.14,12.51,0.87,0.31
2,250.0,0.0,585.26,32.14,13.83,0.87,0.35
3,250.0,0.0,484.73,31.9,14.74,0.87,0.45
4,250.0,0.0,418.49,32.02,16.54,0.87,0.35
5,250.0,0.0,560.53,31.9,12.54,0.87,0.4
6,250.0,0.0,351.99,31.88,11.77,0.87,0.42
7,249.0,1.0,304.46,32.0,12.53,0.88,0.36
8,249.0,1.0,491.41,32.26,12.67,0.87,0.3
9,250.0,0.0,639.17,32.26,15.22,0.87,0.31
10,250.0,0.0,563.13,37.01,10.92,0.84,0.37
