episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,250.0,0.0,465.57,52.9,23.37,0.71,96.3,0.27
2,238.0,12.0,552.8,38.66,34.57,0.61,96.12,0.27
3,241.0,9.0,557.08,35.85,27.52,0.33,95.02,0.36
4,240.0,10.0,524.79,35.82,29.49,0.57,93.5,0.23
5,250.0,0.0,520.84,31.0,35.79,0.67,95.16,0.26
6,250.0,0.0,531.34,28.84,36.07,0.61,96.12,0.23
7,238.0,12.0,546.37,29.45,23.41,0.31,93.5,0.34
8,249.0,1.0,537.87,31.7,24.77,0.65,96.76,0.27
9,192.0,58.0,523.54,34.07,14.02,0.77,93.5,0.24
10,234.0,16.0,526.63,34.22,24.8,0.25,95.11,0.34
11,229.0,21.0,651.2,57.29,20.24,0.78,112.34,0.31
12,193.0,57.0,577.56,56.72,20.95,0.65,106.0,0.2
13,176.0,74.0,563.26,41.3,37.91,0.65,106.0,0.3
14,230.0,20.0,553.14,46.22,16.26,0.74,106.0,0.5
15,206.0,44.0,537.63,42.69,25.66,0.59,106.09,0.41
16,233.0,17.0,520.96,45.0,17.25,0.57,132.36,0.37
17,245.0,5.0,515.31,45.98,21.64,0.47,106.0,0.28
18,218.0,32.0,520.82,42.63,29.93,0.51,109.59,0.36
19,226.0,24.0,534.44,42.07,20.08,0.22,106.0,0.36
20,247.0,3.0,522.44,40.79,27.59,0.54,106.24,0.26
21,233.0,17.0,592.45,18.41,31.75,0.48,67.73,0.27
22,207.0,43.0,577.35,21.98,21.09,0.35,65.5,1.06
23,223.0,27.0,592.9,21.05,23.64,0.24,66.66,0.71
24,217.0,33.0,582.45,18.29,34.6,0.53,71.16,0.38
25,250.0,0.0,586.85,20.83,34.72,0.6,67.07,0.33
26,247.0,3.0,581.77,18.86,34.48,0.82,65.77,0.51
27,221.0,29.0,572.7,17.91,28.87,0.37,65.5,0.35
28,197.0,53.0,578.2,17.73,35.2,0.6,65.59,0.45
29,186.0,64.0,581.5,17.45,32.59,0.71,67.99,0.25
30,247.0,3.0,587.46,19.74,29.67,0.6,67.6,0.26
