episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,65.36,0.0,100.0,0.0,100.0,0.0,0.0,0.0,391.13,16.0,12.28,0.76,100.0,0.06
2,70.35,0.0,100.0,0.0,100.0,0.0,0.0,0.0,351.35,21.12,14.04,0.59,77.0,0.05
3,72.46,0.0,100.0,0.0,100.0,0.0,0.0,0.0,419.15,4.0,15.82,0.85,42.5,0.05
4,72.65,0.0,100.0,0.0,100.0,0.0,0.0,0.0,406.34,4.0,13.89,0.69,75.5,0.05
5,63.4,0.0,100.0,0.0,100.0,0.0,0.0,0.0,415.26,8.08,13.92,0.79,130.99,0.05
6,70.87,0.0,100.0,0.0,100.0,0.0,0.0,0.0,390.99,10.22,12.38,0.64,72.22,0.05
7,57.62,0.0,100.0,0.0,100.0,0.0,0.0,0.0,404.79,16.0,16.05,0.85,150.9,0.05
8,70.68,0.0,100.0,0.0,100.0,0.0,0.0,0.0,395.04,2.68,13.19,0.77,92.0,0.05
9,67.3,0.0,100.0,0.0,100.0,0.0,0.0,0.0,330.91,4.0,12.63,0.88,108.0,0.05
10,76.54,0.0,100.0,0.0,100.0,0.0,0.0,0.0,405.34,4.66,14.59,0.53,65.59,0.05
11,71.8,0.0,100.0,0.0,100.0,0.0,0.0,0.0,347.86,2.78,14.41,0.78,88.39,0.05
12,72.72,0.0,100.0,0.0,100.0,0.0,0.0,0.0,394.99,4.28,12.13,0.73,72.0,0.05
13,66.59,0.0,100.0,0.0,100.0,0.0,0.0,0.0,419.23,11.24,12.29,0.79,89.18,0.06
14,74.34,0.0,100.0,0.0,100.0,0.0,0.0,0.0,395.97,3.0,14.38,0.71,65.02,0.05
15,69.92,0.0,100.0,0.0,100.0,0.0,0.0,0.0,396.91,3.64,12.75,0.83,81.5,0.06
16,78.56,0.0,100.0,0.0,100.0,0.0,0.0,0.0,357.79,2.96,14.67,0.65,64.25,0.05
17,69.17,0.0,100.0,0.0,100.0,0.0,0.0,0.0,420.34,3.82,16.59,0.85,78.9,0.05
18,63.8,0.02,98.0,2.0,97.0,1.0,0.0,0.0,491.31,4.41,13.75,0.87,69.04,0.06
19,73.57,0.0,100.0,0.0,100.0,0.0,0.0,0.0,366.98,3.6,15.89,0.72,70.64,0.05
20,71.26,0.0,100.0,0.0,100.0,0.0,0.0,0.0,379.15,7.64,13.47,0.77,65.5,0.05
21,60.99,0.0,100.0,0.0,100.0,0.0,0.0,0.0,419.41,9.64,14.83,0.8,142.79,0.05
22,60.38,0.0,100.0,0.0,100.0,0.0,0.0,0.0,386.59,24.2,10.71,0.82,102.5,0.05
23,56.22,0.01,99.0,1.0,98.0,1.0,0.0,0.0,483.57,19.39,10.93,0.86,113.47,0.06
24,65.15,0.0,100.0,0.0,100.0,0.0,0.0,0.0,386.74,16.0,14.48,0.79,96.65,0.05
25,75.94,0.0,100.0,0.0,100.0,0.0,0.0,0.0,396.75,2.78,15.3,0.7,52.5,0.05
26,74.01,0.0,100.0,0.0,100.0,0.0,0.0,0.0,397.57,4.0,12.43,0.76,52.0,0.05
27,74.3,0.0,100.0,0.0,100.0,0.0,0.0,0.0,372.22,4.94,14.97,0.67,70.52,0.05
28,71.04,0.0,100.0,0.0,100.0,0.0,0.0,0.0,388.58,3.16,16.24,0.78,84.5,0.05
29,70.08,0.0,100.0,0.0,100.0,0.0,0.0,0.0,417.5,9.56,15.81,0.73,82.5,0.06
30,68.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,389.92,4.0,11.66,0.86,92.19,0.05
