episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,227.0,23.0,357.53,48.71,13.86,0.81,111.67,0.55
2,178.0,72.0,471.63,43.8,12.92,0.77,112.15,0.63
3,223.0,27.0,450.71,50.9,11.74,0.87,113.79,0.43
4,250.0,0.0,498.17,54.63,13.45,0.87,124.43,0.43
5,222.0,28.0,519.9,56.52,11.82,0.88,111.5,0.38
6,250.0,0.0,492.84,57.86,14.02,0.87,138.95,0.44
7,250.0,0.0,474.75,58.79,13.22,0.87,111.5,0.38
8,250.0,0.0,483.1,59.49,11.18,0.88,111.92,0.37
9,244.0,6.0,453.79,59.96,13.65,0.87,124.39,0.35
10,233.0,17.0,456.2,60.36,11.26,0.88,113.3,0.42
11,250.0,0.0,449.3,20.11,22.14,0.68,52.85,0.7
12,250.0,0.0,531.84,12.14,26.58,0.87,53.13,0.78
13,250.0,0.0,531.48,9.46,27.62,0.87,53.97,0.43
14,250.0,0.0,526.39,8.09,23.19,0.87,52.58,0.42
15,250.0,0.0,516.78,8.74,25.03,0.78,55.28,0.61
16,250.0,0.0,500.38,7.95,25.43,0.87,53.91,0.52
17,250.0,0.0,493.02,7.83,24.13,0.84,52.57,0.53
18,250.0,0.0,488.91,8.84,23.73,0.77,53.2,0.5
19,230.0,20.0,478.95,8.29,22.78,0.8,53.91,0.8
20,250.0,0.0,493.4,7.87,24.8,0.87,53.15,0.48
21,250.0,0.0,343.01,31.94,26.35,0.87,66.36,0.5
22,250.0,0.0,400.97,31.94,24.71,0.87,69.1,0.59
23,250.0,0.0,374.58,31.94,24.23,0.87,66.6,0.53
24,250.0,0.0,422.34,31.27,23.97,0.83,72.31,0.64
25,250.0,0.0,441.09,31.41,24.86,0.87,66.38,0.62
26,250.0,0.0,464.31,31.51,26.21,0.88,67.28,0.47
27,236.0,14.0,469.2,31.35,22.42,0.73,69.11,0.68
28,250.0,0.0,497.52,30.85,25.2,0.8,66.0,0.6
29,250.0,0.0,495.74,30.98,23.27,0.88,67.63,0.48
30,250.0,0.0,521.37,31.07,23.42,0.87,69.42,0.48
