episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,228.0,22.0,760.09,23.39,32.08,0.47,0.74
2,227.0,23.0,586.3,39.22,31.86,0.68,0.62
3,241.0,9.0,682.48,24.07,40.32,0.48,0.41
4,235.0,15.0,665.61,17.22,30.34,0.4,0.5
5,217.0,33.0,676.32,16.51,36.15,0.39,0.39
6,230.0,20.0,573.89,24.68,41.57,0.74,0.37
7,222.0,28.0,584.37,24.6,28.82,0.39,0.51
8,230.0,20.0,638.2,11.58,39.8,0.63,0.38
9,238.0,12.0,687.71,31.13,20.31,0.44,0.54
10,221.0,29.0,714.32,14.55,31.07,0.49,0.76
