episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,218.0,32.0,621.6,10.18,22.07,0.62,65.12,0.28
2,240.0,10.0,607.25,19.61,21.03,0.54,65.02,0.52
3,228.0,22.0,580.49,20.71,20.75,0.34,65.14,0.3
4,215.0,35.0,597.74,20.95,17.33,0.25,65.13,0.32
5,226.0,24.0,585.93,18.66,24.92,0.62,65.04,0.35
6,245.0,5.0,574.44,19.43,25.6,0.6,66.44,0.24
7,230.0,20.0,566.99,20.14,19.57,0.6,65.04,0.29
8,250.0,0.0,555.9,22.34,17.56,0.65,65.38,0.43
9,227.0,23.0,541.43,20.46,23.13,0.77,66.02,0.27
10,207.0,43.0,542.74,20.51,20.72,0.26,65.0,0.34
11,250.0,0.0,578.34,30.34,19.11,0.35,73.89,0.38
12,250.0,0.0,572.58,25.28,24.93,0.6,75.46,0.33
13,250.0,0.0,559.69,23.09,23.76,0.69,76.57,0.28
14,250.0,0.0,610.85,22.58,17.94,0.36,88.96,0.33
15,250.0,0.0,625.44,23.21,16.54,0.44,73.58,0.37
16,250.0,0.0,633.38,25.2,17.8,0.48,73.5,0.35
17,250.0,0.0,618.67,23.92,23.75,0.74,77.18,0.25
18,250.0,0.0,628.83,23.06,23.6,0.53,74.11,0.27
19,250.0,0.0,628.39,22.73,23.33,0.44,74.98,0.28
20,250.0,0.0,613.94,23.26,22.69,0.55,76.88,0.3
21,250.0,0.0,604.45,52.77,11.47,0.51,161.0,0.46
22,250.0,0.0,589.32,53.94,10.19,0.44,161.33,0.37
23,250.0,0.0,535.73,39.46,20.1,0.83,161.04,0.26
24,250.0,0.0,595.87,43.73,12.28,0.36,163.4,0.32
25,250.0,0.0,615.77,43.51,13.24,0.53,162.41,0.33
26,250.0,0.0,632.24,46.65,12.34,0.65,187.4,0.28
27,250.0,0.0,636.18,47.21,12.15,0.23,161.0,0.44
28,250.0,0.0,605.01,48.05,16.08,0.63,162.45,0.25
29,250.0,0.0,607.99,46.94,17.56,0.58,161.0,0.31
30,250.0,0.0,616.3,46.96,14.16,0.32,162.74,0.4
