episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,224.0,26.0,733.43,26.14,12.88,0.14,56.5,0.1
2,228.0,22.0,669.99,24.36,14.7,0.24,56.5,0.1
3,220.0,30.0,656.15,24.46,12.35,0.19,56.5,0.1
4,220.0,30.0,667.74,24.38,15.19,0.31,56.62,0.1
5,232.0,18.0,673.52,24.66,15.54,0.19,56.5,0.09
6,224.0,26.0,671.04,24.73,14.5,0.16,58.74,0.09
7,229.0,21.0,674.57,24.75,12.46,0.14,59.01,0.09
8,215.0,35.0,673.46,24.93,14.25,0.16,59.77,0.09
9,224.0,26.0,671.65,25.01,13.29,0.19,56.5,0.1
10,226.0,24.0,667.86,24.95,13.89,0.19,58.72,0.1
11,224.0,26.0,671.89,25.09,12.2,0.22,56.53,0.09
12,221.0,29.0,673.72,25.19,15.11,0.2,57.15,0.09
13,223.0,27.0,678.57,25.12,13.26,0.25,60.17,0.09
14,232.0,18.0,681.3,25.07,11.31,0.21,56.5,0.08
15,233.0,17.0,682.16,25.08,15.07,0.2,56.5,0.08
16,221.0,29.0,678.16,25.05,13.87,0.2,57.24,0.08
17,222.0,28.0,677.59,25.12,13.3,0.11,57.54,0.08
18,232.0,18.0,679.55,25.02,14.08,0.23,59.02,0.18
19,222.0,28.0,679.56,25.04,13.43,0.21,56.58,0.08
20,230.0,20.0,679.31,25.03,12.3,0.19,56.5,0.08
21,228.0,22.0,681.8,25.03,13.63,0.14,56.5,0.08
22,227.0,23.0,677.97,25.03,12.86,0.14,58.55,0.08
23,229.0,21.0,680.74,24.97,13.41,0.21,56.5,0.08
24,223.0,27.0,680.42,25.02,13.23,0.14,56.5,0.08
25,228.0,22.0,679.35,25.01,14.2,0.19,57.4,0.08
26,229.0,21.0,680.34,24.97,11.83,0.26,56.5,0.09
27,220.0,30.0,681.36,24.97,13.99,0.23,56.5,0.08
28,227.0,23.0,678.62,25.0,13.76,0.2,56.5,0.08
29,230.0,20.0,675.99,24.92,15.27,0.26,56.5,0.09
30,226.0,24.0,675.97,24.92,14.06,0.22,56.52,0.08
