episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,250.0,0.0,555.58,60.67,20.61,0.86,100.22,0.71
2,250.0,0.0,594.02,62.21,18.05,0.85,90.56,1.19
3,250.0,0.0,563.37,56.69,21.79,0.78,91.92,0.68
4,250.0,0.0,534.91,51.92,25.31,0.71,86.47,0.69
5,250.0,0.0,548.59,52.94,22.91,0.84,97.49,0.52
6,250.0,0.0,525.66,52.15,22.26,0.79,90.1,0.48
7,250.0,0.0,501.48,53.77,16.02,0.87,85.0,0.61
8,249.0,1.0,511.03,52.57,22.46,0.77,110.42,0.47
9,250.0,0.0,503.15,51.98,22.05,0.79,87.47,0.54
10,250.0,0.0,548.59,52.94,22.91,0.84,97.49,0.52
11,189.0,61.0,676.9,49.23,19.95,0.82,71.5,0.65
12,193.0,57.0,555.24,49.59,22.87,0.82,97.76,0.58
13,250.0,0.0,566.97,55.24,17.83,0.87,76.87,0.48
14,249.0,1.0,522.32,56.95,22.05,0.85,71.5,0.49
15,250.0,0.0,496.97,58.51,17.54,0.87,85.29,0.54
16,230.0,20.0,494.09,56.52,19.98,0.81,96.61,0.57
17,248.0,2.0,469.86,57.67,17.8,0.88,71.5,0.49
18,250.0,0.0,449.27,58.43,18.11,0.86,87.49,0.49
19,250.0,0.0,450.17,53.62,29.29,0.82,72.25,1.19
20,209.0,41.0,511.3,53.0,15.61,0.87,85.0,0.45
21,250.0,0.0,490.18,15.95,37.83,0.87,51.24,0.51
22,250.0,0.0,469.44,15.95,37.16,0.87,51.18,0.51
23,250.0,0.0,472.76,15.95,35.94,0.77,52.48,1.06
24,250.0,0.0,531.44,15.96,38.0,0.88,51.12,0.52
25,191.0,59.0,535.36,15.96,32.27,0.87,49.5,0.47
26,250.0,0.0,516.35,15.95,39.97,0.87,62.5,0.5
27,149.0,101.0,502.4,14.95,33.7,0.74,49.75,1.05
28,204.0,46.0,507.17,15.07,30.35,0.87,51.22,0.47
29,250.0,0.0,507.97,15.17,36.5,0.87,52.92,0.54
30,235.0,15.0,514.7,15.24,29.83,0.87,51.34,0.52
