episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_fdd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,50.98,0.0,100.0,0.0,99.0,1.0,0.0,0.0,376.07,16.48,22.49,0.87,0.05
2,55.05,0.0,100.0,0.0,98.0,2.0,0.0,0.0,316.68,27.94,23.32,0.51,0.05
3,59.92,0.0,100.0,0.0,99.0,1.0,0.0,0.0,394.29,4.02,25.52,0.74,0.05
4,59.32,0.0,100.0,0.0,99.0,1.0,0.0,0.0,300.73,5.11,25.04,0.86,0.05
5,53.71,0.0,100.0,0.0,99.0,1.0,0.0,0.0,464.45,5.8,24.87,0.86,0.05
6,58.86,0.0,100.0,0.0,100.0,0.0,0.0,0.0,337.67,4.42,24.26,0.84,0.05
7,50.45,0.0,100.0,0.0,100.0,0.0,0.0,0.0,397.77,16.0,27.82,0.87,0.05
8,65.68,0.0,100.0,0.0,100.0,0.0,0.0,0.0,291.32,2.72,22.58,0.72,0.06
9,58.28,0.0,100.0,0.0,100.0,0.0,0.0,0.0,330.91,4.0,25.48,0.88,0.05
10,64.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,369.93,2.92,25.03,0.67,0.05
11,61.74,0.0,100.0,0.0,99.0,1.0,0.0,0.0,362.95,3.3,22.82,0.76,0.06
12,60.26,0.0,100.0,0.0,99.0,1.0,0.0,0.0,381.47,4.85,20.8,0.73,0.06
13,55.66,0.0,100.0,0.0,98.0,2.0,0.0,0.0,424.31,4.77,20.37,0.86,0.06
14,59.0,0.0,100.0,0.0,99.0,1.0,0.0,0.0,358.54,3.91,23.17,0.82,0.05
15,62.95,0.0,100.0,0.0,100.0,0.0,0.0,0.0,345.38,3.9,24.88,0.73,0.05
16,66.92,0.0,100.0,0.0,100.0,0.0,0.0,0.0,313.24,2.96,27.05,0.63,0.05
17,62.77,0.0,100.0,0.0,99.0,1.0,0.0,0.0,344.81,4.3,23.41,0.72,0.05
18,52.95,0.0,100.0,0.0,99.0,1.0,0.0,0.0,490.46,4.21,26.11,0.87,0.05
19,55.91,0.0,100.0,0.0,98.0,2.0,0.0,0.0,406.72,4.45,24.95,0.85,0.05
20,61.48,0.0,100.0,0.0,100.0,0.0,0.0,0.0,356.94,2.96,26.03,0.78,0.05
21,52.01,0.0,100.0,0.0,100.0,0.0,0.0,0.0,475.36,14.96,27.15,0.74,0.05
22,59.43,0.0,100.0,0.0,99.0,1.0,0.0,0.0,412.35,5.71,21.24,0.8,0.05
23,53.36,0.0,100.0,0.0,100.0,0.0,0.0,0.0,405.39,14.78,26.26,0.77,0.05
24,53.71,0.0,100.0,0.0,98.0,2.0,0.0,0.0,328.53,16.41,25.24,0.83,0.05
25,62.1,0.0,100.0,0.0,98.0,2.0,0.0,0.0,367.36,3.78,24.98,0.64,0.06
26,59.31,0.0,100.0,0.0,100.0,0.0,0.0,0.0,383.96,4.0,21.79,0.77,0.05
27,62.38,0.0,100.0,0.0,100.0,0.0,0.0,0.0,358.02,2.86,25.57,0.7,0.05
28,60.17,0.0,100.0,0.0,98.0,2.0,0.0,0.0,424.48,13.09,25.5,0.63,0.06
29,53.54,0.0,100.0,0.0,100.0,0.0,0.0,0.0,337.33,21.36,27.32,0.75,0.14
30,56.52,0.0,100.0,0.0,100.0,0.0,0.0,0.0,384.47,4.0,21.9,0.88,0.05
