episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,245.0,5.0,546.64,18.94,23.72,0.74,0.21
2,245.0,5.0,403.08,4.27,22.86,0.72,0.78
3,248.0,2.0,521.13,31.16,20.74,0.63,0.58
4,246.0,4.0,623.11,21.53,18.05,0.31,0.54
5,234.0,16.0,591.34,11.84,21.57,0.39,0.21
6,246.0,4.0,605.89,14.77,22.11,0.6,0.23
7,237.0,13.0,603.95,15.95,19.28,0.39,0.25
8,233.0,17.0,652.67,17.7,16.88,0.51,0.25
9,239.0,11.0,612.45,30.34,17.19,0.54,0.25
10,224.0,26.0,723.49,26.1,18.03,0.32,0.27
